Yield,Date,Ticker,Yield_Change,Yield_Change_Lag1,Yield_Change_Lag2,Yield_Change_Lag3
2.98,2018-05-01,GS10,0.10999999999999988,0.03000000000000025,-0.020000000000000018,0.2799999999999998
2.91,2018-06-01,GS10,-0.06999999999999984,0.10999999999999988,0.03000000000000025,-0.020000000000000018
2.89,2018-07-01,GS10,-0.020000000000000018,-0.06999999999999984,0.10999999999999988,0.03000000000000025
2.89,2018-08-01,GS10,0.0,-0.020000000000000018,-0.06999999999999984,0.10999999999999988
3.0,2018-09-01,GS10,0.10999999999999988,0.0,-0.020000000000000018,-0.06999999999999984
3.15,2018-10-01,GS10,0.1499999999999999,0.10999999999999988,0.0,-0.020000000000000018
3.12,2018-11-01,GS10,-0.029999999999999805,0.1499999999999999,0.10999999999999988,0.0
2.83,2018-12-01,GS10,-0.29000000000000004,-0.029999999999999805,0.1499999999999999,0.10999999999999988
2.71,2019-01-01,GS10,-0.1200000000000001,-0.29000000000000004,-0.029999999999999805,0.1499999999999999
2.68,2019-02-01,GS10,-0.029999999999999805,-0.1200000000000001,-0.29000000000000004,-0.029999999999999805
2.57,2019-03-01,GS10,-0.11000000000000032,-0.029999999999999805,-0.1200000000000001,-0.29000000000000004
2.53,2019-04-01,GS10,-0.040000000000000036,-0.11000000000000032,-0.029999999999999805,-0.1200000000000001
2.4,2019-05-01,GS10,-0.1299999999999999,-0.040000000000000036,-0.11000000000000032,-0.029999999999999805
2.07,2019-06-01,GS10,-0.33000000000000007,-0.1299999999999999,-0.040000000000000036,-0.11000000000000032
2.06,2019-07-01,GS10,-0.009999999999999787,-0.33000000000000007,-0.1299999999999999,-0.040000000000000036
1.63,2019-08-01,GS10,-0.43000000000000016,-0.009999999999999787,-0.33000000000000007,-0.1299999999999999
1.7,2019-09-01,GS10,0.07000000000000006,-0.43000000000000016,-0.009999999999999787,-0.33000000000000007
1.71,2019-10-01,GS10,0.010000000000000009,0.07000000000000006,-0.43000000000000016,-0.009999999999999787
1.81,2019-11-01,GS10,0.10000000000000009,0.010000000000000009,0.07000000000000006,-0.43000000000000016
1.86,2019-12-01,GS10,0.050000000000000044,0.10000000000000009,0.010000000000000009,0.07000000000000006
1.76,2020-01-01,GS10,-0.10000000000000009,0.050000000000000044,0.10000000000000009,0.010000000000000009
1.5,2020-02-01,GS10,-0.26,-0.10000000000000009,0.050000000000000044,0.10000000000000009
0.87,2020-03-01,GS10,-0.63,-0.26,-0.10000000000000009,0.050000000000000044
0.66,2020-04-01,GS10,-0.20999999999999996,-0.63,-0.26,-0.10000000000000009
0.67,2020-05-01,GS10,0.010000000000000009,-0.20999999999999996,-0.63,-0.26
0.73,2020-06-01,GS10,0.05999999999999994,0.010000000000000009,-0.20999999999999996,-0.63
0.62,2020-07-01,GS10,-0.10999999999999999,0.05999999999999994,0.010000000000000009,-0.20999999999999996
0.65,2020-08-01,GS10,0.030000000000000027,-0.10999999999999999,0.05999999999999994,0.010000000000000009
0.68,2020-09-01,GS10,0.030000000000000027,0.030000000000000027,-0.10999999999999999,0.05999999999999994
0.79,2020-10-01,GS10,0.10999999999999999,0.030000000000000027,0.030000000000000027,-0.10999999999999999
0.87,2020-11-01,GS10,0.07999999999999996,0.10999999999999999,0.030000000000000027,0.030000000000000027
